Issuer,Contract,ProductType,PlanName,EffectiveFrom,EffectiveTo, DateRangeBasedOn,Street Initial,StreetTrueup,OverrideInitial,OverrideTrueup,StreetRenewal,OverrideRenewal
Aetna,High Level,Medicare Advantage,"Aetna MA 2023 CA,NJ Electronic",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$106.00 ,$64.00 ,$28.00 ,$6.25 
Aetna,Middle 2,Medicare Advantage,"Aetna MA 2023 CA,NJ Electronic",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$23.00 ,$12.80 ,$28.00 ,$2.25 
Aetna,Middle 1,Medicare Advantage,"Aetna MA 2023 CA,NJ Electronic",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$23.00 ,$12.80 ,$28.00 ,$1.00 
Aetna,Low Level,Medicare Advantage,"Aetna MA 2023 CA,NJ Electronic",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$10.60 ,$3.20 ,$28.00 ,$0.00 
Aetna,High Level,Medicare Advantage,"Aetna MA 2023 CA,NJ Paper",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$106.00 ,$44.00 ,$28.00 ,$6.25 
Aetna,Middle 2,Medicare Advantage,"Aetna MA 2023 CA,NJ Paper",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$21.20 ,$8.80 ,$28.00 ,$2.25 
Aetna,Middle 1,Medicare Advantage,"Aetna MA 2023 CA,NJ Paper",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$21.20 ,$8.80 ,$28.00 ,$1.00 
Aetna,Low Level,Medicare Advantage,"Aetna MA 2023 CA,NJ Paper",1/1/2023,1/1/2024,Effective Date,$336.00 ,$336.00 ,$0.00 ,$2.20 ,$28.00 ,$0.00 
Aetna,High Level,Medicare Advantage,Aetna MA 2023 Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$96.00 ,$54.00 ,$22.50 ,$5.42 
Aetna,Middle 2,Medicare Advantage,Aetna MA 2023 Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$19.20 ,$10.80 ,$22.50 ,$1.08 
Aetna,Middle 1,Medicare Advantage,Aetna MA 2023 Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$19.20 ,$10.80 ,$22.50 ,$1.08 
Aetna,Low Level,Medicare Advantage,Aetna MA 2023 Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$4.50 ,$2.70 ,$22.50 ,$0.00 
Aetna,High Level,Medicare Advantage,Aetna MA 2023 FL Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$175.00 ,$0.00 ,$22.50 ,$5.42 
Aetna,Middle 2,Medicare Advantage,Aetna MA 2023 FL Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$35.00 ,$0.00 ,$22.50 ,$1.08 
Aetna,Middle 1,Medicare Advantage,Aetna MA 2023 FL Electronic,1/1/2023,1/1/2024,Effective Date,$270.00 ,$269.00 ,$35.00 ,$0.00 ,$22.50 ,$1.08 
