PolicyNo,Issuer,AgentID,WritingAgentID,Level,FromMonth,ToMonth,ContractRate,FixedAmount
1001,GRIC,DD1203,,1,1,999,25.00%,$0.00 
1001,GRIC,CC1202,,2,1,999,35.00%,$0.00 
1001,GRIC,BB1201,,3,1,999,45.00%,$0.00 
1001,GRIC,AA1200,,4,1,999,50.00%,$0.00 
1022,GRIC,DD1203,,1,1,12,25.00%,$0.00 
1022,GRIC,DD1203,,1,13,999,25.00%,$0.00 
1022,GRIC,CC1202,,2,1,12,35.00%,$0.00 
1022,GRIC,CC1202,,2,13,999,35.00%,$0.00 
1022,GRIC,BB1201,,3,1,12,45.00%,$0.00 
1022,GRIC,BB1201,,3,13,999,45.00%,$0.00 
1022,GRIC,AA1200,,4,1,12,50.00%,$0.00 
1022,GRIC,AA1200,,4,13,999,50.00%,$0.00 
